,Time,Country Name,Region,"Population, total",Population Structure,Population growth,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Labor force, total",Life expectancy index,Life expectancy at birth (Times),HDI,Highest GDP contribution industry rate,Industry has the highest employment contribution rate,"Agriculture, forestry, and fishing, value added (annual % growth)","Industry (including construction), value added (annual % growth)","Services, value added (annual % growth)","Manufacturing, value added (annual % growth)",Gross value added at basic prices (GVA) (current US$),Total natural resources rents (% of GDP),"Inflation, GDP deflator (annual %)",GNI growth (annual %),Adjusted savings (% of GNI),"Stocks traded, total value (% of GDP)",Broad money (% of GDP),Consumer price index (2010 = 100),Net ODA received (% of GNI),"Foreign direct investment, net inflows (% of GDP)","Official exchange rate (LCU per US$, period average)","Total reserves (includes gold, current US$)","Central government debt, total (% of GDP)",Trade (% of GDP),Lending interest rate (%),Deposit interest rate (%),Import value index (2000 = 100),Type has the highest manufacturing contribution rate,Type has the highest service import contribution rate,Type has the highest commercial service import contribution rate,Type has the highest merchandise import contribution rate,Export value index (2000 = 100),Type has the highest service export contribution rate,Type has the highest merchandise export contribution rate,Type has the highest commercial service export contribution rate,Education Index,Documents,H index,Expected Times of schooling (Times),Mean Times of schooling (Times),GDP growth (annual %)
0,2000,Afghanistan,South Asia,20779957.0,Young,2-3,11.65,5071019.0,0.551,55.8,Low,,Agriculture,,,,,,,,,education expenditure,,,,,,47.3575747311828,,,,,,100.0,,,,,100.0,,,,0.235,3.0,66.0,5.9,2.2,
1,2000,Albania,Europe & Central Asia,3089027.0,Old,-0,16.58,1343716.0,0.83,74.0,Medium,Services,Agriculture,6.69542676815271,14.2728117287749,-2.55619662562133,6.93822761562409,3070153880.33998,1.09796102011767,5.6437820728261,,gross savings,,65.4631716237098,80.2722651041688,8.8618222421551,4.10877603723822,143.709416666667,646305676.491804,,63.4542380063455,22.1025,8.3025,100.0,Other manufacturing,Travel services,Travel services,Manufactures,100.0,Travel services,Manufactures,Travel services,0.586,44.0,79.0,10.6,8.8,6.95003613422918
2,2000,Algeria,Middle East & North Africa,31042238.0,Old,1-2,29.77,8879547.0,0.779,70.6,Medium,Industry (including construction),Services,-4.60003902439024,4.01632274835431,4.63436507284911,3.74236289756782,51231693414.0139,24.3954281040246,22.6779794409578,3.08223028747334,natural resources depletion,,37.8297340156318,70.4381279952933,0.383945041188423,0.511221135473563,75.2597916666667,13556106802.2149,,62.8583588799162,10.0,7.5,100.0,,,,Manufactures,100.0,,Fuel,,0.5,546.0,202.0,10.9,5.9,3.79999999969765
3,2000,American Samoa,East Asia & Pacific,57816.0,,1-2,,,,,,,,,,,,,,,,education expenditure,,,,,,,,,,,,100.0,,,,,100.0,,,,,3.0,31.0,,,
4,2000,Andorra,Europe & Central Asia,65390.0,,1-2,,,0.906,78.9,Very High,,,,,,,1313598673.30017,0.0,28.7415528975991,,education expenditure,,,,,,,,,,,,100.0,,,,Manufactures,100.0,,Manufactures,,0.63,1.0,33.0,10.8,9.9,3.52836236122388
5,2000,Angola,Sub-Saharan Africa,16395477.0,Young,+3,3.87,6712513.0,0.408,46.5,Low,Industry (including construction),Services,,,,,,55.4500727870234,418.018991534099,,gross savings,,17.2805558862873,2.90908239295018,4.05718111293932,9.6238239763664,10.0405441666667,1198212373.02401,,152.547109454858,103.160174166667,39.5784,100.0,,"Communications, computer, etc","Communications, computer and other service",,100.0,"Communications, computer, etc",,"Communications, computer and other service",0.288,17.0,52.0,5.1,4.4,3.05462423430785
6,2000,Antigua and Barbuda,Latin America & Caribbean,76007.0,Old,1-2,,,0.83,73.9,,Services,,3.3378196500673,6.5202431471499,9.73614323652873,3.0,742314814.814815,0.0,1.55330015893553,,gross savings,,78.9508377554679,81.0825688073393,1.26366712201145,5.21750627465041,2.7,63558884.5284907,,173.368590892793,12.1715539440033,5.17721846072505,100.0,,Transport services,Transport services,Manufactures,100.0,Travel services,Manufactures,Travel services,,1.0,23.0,,7.0,6.20343125361191
7,2000,Argentina,Latin America & Caribbean,36870796.0,Old,1-2,15.0,16313902.0,0.824,73.6,High,Services,Services,-1.76587673522218,-2.19535196176197,0.343091492905032,-3.82321832895714,263218944600.0,2.28997359107989,1.03728710073175,-0.831529258354507,gross savings,3.21798357692325,31.8486210586349,,0.0269504387904764,3.66579059535379,0.9995,25152117244.4134,,22.6224447777343,,,100.0,Other manufacturing,Travel services,Travel services,Manufactures,100.0,Travel services,Food,Travel services,0.736,5572.0,477.0,15.6,9.1,-0.78899893905691
8,2000,Armenia,Europe & Central Asia,3069597.0,Old,-0,11.05,1206970.0,0.791,71.4,Medium,,Agriculture,-1.09999999184221,23.7235565588701,-6.13459071374511,6.59999996515594,,0.29345432532663,-1.37367599828147,5.81992756309573,consumption of fixed capital,,14.7045108640783,65.0005904218581,10.9559026794242,5.45043315573561,539.525833333333,314200332.802207,,72.2333302273367,31.5660003908333,18.0777357591667,100.0,,Transport services,Transport services,Manufactures,100.0,Transport services,Manufactures,Transport services,0.671,480.0,231.0,11.2,10.8,5.90000000312092
9,2000,Aruba,Latin America & Caribbean,90866.0,Old,2-3,,,,,,Services,,,,,,1728899441.34078,0.000703181870217,1.04827145641269,,gross savings,,51.8345420279829,72.0314565915752,,-6.8287271729666,1.79,235455000.0,,145.073177713897,12.0666666666667,6.2,100.0,,Transport services,Transport services,Manufactures,100.0,Travel services,Food,Travel services,,4.0,20.0,,,7.61658819396467
