,Country Name,"Population, total [SP.POP.TOTL]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]",Population growth (annual %) [SP.POP.GROW],Population density (people per sq. km of land area) [EN.POP.DNST],Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS],Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS],Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS],Land area (sq. km) [AG.LND.TOTL.K2],GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Services, value added (% of GDP) [NV.SRV.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Stocks traded, total value (% of GDP) [CM.MKT.TRAD.GD.ZS]",Gross value added at basic prices (GVA) (current US$) [NY.GDP.FCST.CD],Compensation of employees (current LCU) [GC.XPN.COMP.CN],"Employers, total (% of total employment) (modeled ILO estimate) [SL.EMP.MPYR.ZS]",Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS],"Employment to population ratio, 15+, total (%) (national estimate) [SL.EMP.TOTL.SP.NE.ZS]","Employment to population ratio, 15+, total (%) (modeled ILO estimate) [SL.EMP.TOTL.SP.ZS]",Unemployment with advanced education (% of total labor force with advanced education) [SL.UEM.ADVN.ZS],Unemployment with basic education (% of total labor force with basic education) [SL.UEM.BASC.ZS],Unemployment with intermediate education (% of total labor force with intermediate education) [SL.UEM.INTM.ZS],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Labor force, total [SL.TLF.TOTL.IN]","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]","Labor force participation rate, total (% of total population ages 15+) (national estimate) [SL.TLF.CACT.NE.ZS]",Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Inflation, GDP deflator: linked series (annual %) [NY.GDP.DEFL.KD.ZG.AD]",GNI (current US$) [NY.GNP.MKTP.CD],GNI growth (annual %) [NY.GNP.MKTP.KD.ZG],"Foreign direct investment, net (BoP, current US$) [BN.KLT.DINV.CD]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Consumer price index (2010 = 100) [FP.CPI.TOTL],Crop production index (2014-2016 = 100) [AG.PRD.CROP.XD],Export value index (2000 = 100) [TX.VAL.MRCH.XD.WD],Food production index (2014-2016 = 100) [AG.PRD.FOOD.XD],Import value index (2000 = 100) [TM.VAL.MRCH.XD.WD],"Official exchange rate (LCU per US$, period average) [PA.NUS.FCRF]",Total reserves minus gold (current US$) [FI.RES.XGLD.CD],Region,2019 [YR2019] - Net official development assistance received (current US$) [DT.ODA.ODAT.CD],"2019 [YR2019] - External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]",2019 [YR2019] - Short-term debt (% of total reserves) [DT.DOD.DSTC.IR.ZS],2019 [YR2019] - Short-term debt (% of total external debt) [DT.DOD.DSTC.ZS],2019 [YR2019] - Trade (% of GDP) [NE.TRD.GNFS.ZS],"2019 [YR2019] - Total reserves (includes gold, current US$) [FI.RES.TOTL.CD]","2019 [YR2019] - Current account balance (BoP, current US$) [BN.CAB.XOKA.CD]",2019 [YR2019] - Deposit interest rate (%) [FR.INR.DPST],2019 [YR2019] - Lending interest rate (%) [FR.INR.LEND],2019 [YR2019] - Wholesale price index (2010 = 100) [FP.WPI.TOTL]
0,Afghanistan,38041757,51.3376051479431,48.6623948520569,2.31307334941778,58.2693946634807,42.4722713889586,54.9119343971364,2.61579421390507,652860,19291104007.6135,507.103391875763,1.53563667424,3.911603419423,25.7739707394105,14.0581123697768,55.4728067408306,7.04318108092508,..,18385365425.3085,..,2.82999992370605,42.5,18.5499992370605,38.9599990844727,..,43.53,..,..,..,10.98,10701549,50.49,..,0.77395727295575,2.30237251516844,6.52147984507825,6.52147984507825,19598008726.2285,..,2916492.92940283,23404553.647249,149.895975208032,..,710.0617572,..,623.3544463,..,7426979265.63529,SouthernAsia,4284419921.875,2661685956.5,4.9409155902724,15.7742,,8497655795.34729,-3791935256.04003,,,
1,Albania,2854191,50.9138943105883,49.0861056894117,-0.426007367032238,104.167554744526,17.399564097126,68.3978052821376,14.2026306207364,27400,15286612572.6895,5355.84779459031,2.60988819813524,2.17369228814495,18.4633799189155,20.2359624888842,48.5759175924794,6.27014252825588,..,13341430868.0501,93528830000,3.0699999332428,36.4199981689453,20.1499996185303,43.4300003051758,53.39,53.41,14.8599996566772,5.82000017166138,8.93000030517578,11.47,1422089,69.61,60.31,1.59173188825137,1.41109078954248,0.477277009414109,0.477277009414109,15084875233.4985,..,-1161045288.11878,1201022154.46645,119.049258384382,..,1038.611726,..,540.5527953,109.850833333333,3626591058.67744,SouthernEurope,28409999.8474121,9625903648.5,48.1334788589224,18.8198,76.8541258217678,3763661058.67744,-1218844955.87906,0.4925,6.27583333333333,
2,Algeria,43053054,50.5182884354731,49.4817115645269,1.93398334424168,18.0762954494212,30.5503786096104,62.8968435084768,6.55277788191286,2381741,171157803367.473,3975.5089933335,-1.13072508207257,0.799999999582639,12.3803742846933,37.4392387031716,46.2339010098736,23.8355614515158,..,157633284626.522,..,4.65000009536743,9.60000038146973,30.4200000762939,59.9900016784668,..,37.51,..,..,..,11.81,12716548,46.37,..,16.4240640597652,1.95176821052894,-0.910065689411226,-0.910065689411226,166956170572.149,0.836047305967,-1298467328.49061,1381269144.40103,151.361667767746,..,162.6030243,..,457.2469742,119.353558333333,63297610714.9485,NorthernAfrica,175720001.220703,5492302707.3,3.15389653239669,41.228,52.0263555949345,71795950714.9485,-17147722730.2744,1.75,8.0,
3,American Samoa,55312,..,..,-0.269018785914943,276.56,..,..,..,200,638000000,11534.5675441134,-1.18849371671254,-1.45395799676898,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0004859210762,1.0004859210762,..,..,..,..,..,..,127.0574646,..,125.4940711,..,..,Polynesia,,,,,160.971786833856,,,,,
4,Andorra,77146,..,..,0.179041785311253,164.140425531915,..,..,..,470,3155065487.51819,40897.3308728669,1.83306059347608,2.01554763848308,..,..,..,..,..,2832553453.48707,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,1.37475350829189,1.37475350829189,..,..,..,..,..,..,313.3716695,..,173.1415092,..,..,SouthernEurope,,,,,,,,,,
5,Angola,31825299,49.472524987118,50.5274750128821,3.24291402840967,25.527632148873,46.6220250275763,51.17863322241,2.19934175001363,1246700,89417190341.2533,2809.62608839129,-3.7956079652012,-0.624644317706895,6.66070380425936,49.986772065329,38.8503462339698,4.30866653967553,..,85179841995.8238,1999140556461.43,4.80999994277954,50.7299995422363,6.80000019073486,42.4700012207031,..,72.07,..,..,..,6.93,13155275,77.93,..,26.1942673738873,17.0812152138993,28.0906771592866,28.0906771592866,81900890781.2989,-1.54013048270227,1749052912.30147,-4098478747.63755,378.883721459389,..,438.3987046,..,464.7058683,364.825804980887,16334853784.0603,MiddleAfrica,49540000.9155273,51997502840.3,17.2835614724323,5.4295,64.2885787245042,16334853784.0603,5137394880.2235,6.41540182938613,19.295367205655,
6,Antigua and Barbuda,97115,48.2428049219997,51.7571950780003,0.861445783881833,220.715909090909,21.9547354764307,68.9903004592352,9.05496406433411,440,1661962962.96296,17113.3497705088,2.46467046609634,3.3511608848481,1.76007844360751,21.5708778107102,66.2552091458115,2.28957279433067,..,1463544444.44444,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,1.43135598182989,0.169555987636485,0.169555987636485,1555907463.40076,..,..,139466666.6667,115.436612610656,..,71.92307692,..,168.8041769,2.7,279133212.713698,Caribbean,27440000.5340576,,,,141.555080148007,279133212.713698,,1.57648958333333,8.61132908333333,
7,Argentina,44938712,48.7741977984923,51.2258022015077,0.993397493293046,16.4208266190179,24.5955258782711,64.1613658498285,11.2431082719004,2736690,445445177459.453,9912.28180859863,-3.05585485836266,-2.08801486066213,6.088397130802,23.4098534223297,54.3334016942752,13.0029825727316,0.669741227644464,373424052120.653,552193278094.08,3.78999996185303,0.0599999986588955,21.8400001525879,78.0999984741211,54.35,55.55,3.86999988555908,12.3000001907349,11.2299995422363,9.84,20877041,69.37,60.29,2.07118408606953,..,50.6225683967961,50.6225683967961,427609245335.726,-2.42948336461062,-5123845949.27597,6663062111.95629,..,..,247.2039786,..,195.2929951,..,42192526746.9573,SouthAmerica,18250000.0,279305800305.8,149.867971985723,24.0817,32.6276437330845,44880566052.3703,-3997018054.51692,47.2867933045233,67.2541666666667,
8,Armenia,2957728,47.0384362591827,52.9615637408173,0.202624027586126,103.889286968739,20.7659520084822,67.7503802746092,11.4836677169087,28470,13672802157.8324,4622.73818208855,7.38219727969849,7.59999999853918,11.9883560296292,24.2874002052175,54.2338376614097,11.7393923621122,..,12121772498.044,301264320629,0.899999976158142,24.0499992370605,24.75,51.2000007629395,48.75,42.97,16.7800006866455,20.9899997711182,19.4300003051758,18.81,1240429,61.55,59.67,2.11066889665212,1.44344660770702,1.46271392892625,1.46271392892625,13900535495.7309,7.49213228245861,-396632618.05586,254077251.672277,129.176007326748,..,897.4507138,..,625.2182787,480.445128767119,2849645182.4783,WesternAsia,419730010.986328,11887400146.3,55.9582999948501,13.4143,95.7371808943261,2849645182.4783,-987522525.741376,8.48695110316131,12.1419889531682,
9,Aruba,106310,47.4489699934155,52.5510300065845,0.437414675818993,590.611111111111,17.6204450966006,68.3211994657336,14.0583554376658,180,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.25746204335428,..,..,..,..,134984404.01532,-75226540.6843182,109.534355432857,..,5.179590413,..,46.51691765,1.79,830000000,Caribbean,,,,,,982300000.0,84796821.7557428,2.2,5.7,
10,Australia,25365745,49.8004658138649,50.1995341861351,1.52165367749095,3.29767018286484,19.2754467111674,64.8033515429272,15.9212017459054,7692020,1396567014733.23,55057.2046960666,0.618187910846473,2.16095629535999,2.12159698465698,25.3824487371203,66.0302251264928,5.64439641928017,59.734048649241,1306268774138.18,53661000000,5.96999979019165,2.55999994277954,19.0599994659424,78.379997253418,62.55,62.53,..,..,..,5.16,13500080,78.51,65.95,5.35585560534643,1.61076787290379,3.39810447050677,3.39810447050677,1352020454870.55,..,-30038221689.8741,39897440702.6864,119.797086368366,..,424.3045207,..,309.7546926,..,56363575703.4779,Oceania,,,,,45.7104594710859,58754685703.4779,8033400362.83176,1.55833333333333,5.101,
11,Austria,8879920,49.2387138156234,50.7612861843766,0.444673639004876,107.609306834707,14.361857631549,66.5625360827828,19.0756062856682,82520,445075391688.156,50121.5542131186,0.968753111443178,1.41873427248989,1.08562333151095,25.5242529163282,62.7716919422153,16.6166140912986,7.52230534988954,397815364718.901,18794630000,4.78999996185303,3.66000008583069,25.3600006103516,70.9899978637695,58.61,58.05,3,10.5699996948242,3.94000005722046,4.49,4622075,76.86,61.36,0.132720136514683,1.53089564152645,1.72610686092094,1.72610686092094,447294996188.235,2.84876831657554,7410325506.16884,-8100275768.26291,118.057980056249,..,264.5264523,..,255.8428154,..,9906351437.81143,WesternEurope,,,,,107.779781982421,23616397437.8114,12666127203.9232,,,110.451630234753
12,Azerbaijan,10024283,49.9201261500247,50.0798738499753,0.846646726414021,121.280071139933,23.4419198468747,70.11169103273,6.4463891203953,82654,48174235294.1176,4805.75371765917,1.61616934243607,2.48015159147059,5.69538024963307,48.8232665251868,36.972533524144,5.00352885726078,..,43843352941.1765,3144500000,13.6899995803833,36,14.789999961853,49.2200012207031,63.2,63.28,..,..,..,4.84,5103475,72.04,66.5,25.4608376363194,2.61057182799216,-0.221986546951399,-0.221986546951399,46113221294.1176,..,927801000,1503918000,156.891564325,..,1117.47851,..,1023.890785,1.7,7042898781.03734,WesternAsia,120980003.356934,15840362634.9,8.75841669966488,3.8941,85.8181454084561,7042996709.93734,4364886019.2297,9.69416666666667,17.2812151745262,
