Country Name,"Country Code","2019 [YR2019] - Net official development assistance received (current US$) [DT.ODA.ODAT.CD]","2019 [YR2019] - External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","2019 [YR2019] - Short-term debt (% of total reserves) [DT.DOD.DSTC.IR.ZS]","2019 [YR2019] - Short-term debt (% of total external debt) [DT.DOD.DSTC.ZS]","2019 [YR2019] - Trade (% of GDP) [NE.TRD.GNFS.ZS]","2019 [YR2019] - Total reserves (includes gold, current US$) [FI.RES.TOTL.CD]","2019 [YR2019] - Current account balance (BoP, current US$) [BN.CAB.XOKA.CD]","2019 [YR2019] - Deposit interest rate (%) [FR.INR.DPST]","2019 [YR2019] - Lending interest rate (%) [FR.INR.LEND]","2019 [YR2019] - Wholesale price index (2010 = 100) [FP.WPI.TOTL]"
Afghanistan,"AFG","4284419921.875","2661685956.5","4.9409155902724","15.7742","NA","8497655795.34729","-3791935256.04003","NA","NA","NA"
Albania,"ALB","28409999.8474121","9625903648.5","48.1334788589224","18.8198","76.8541258217678","3763661058.67744","-1218844955.87906","0.4925","6.27583333333333","NA"
Algeria,"DZA","175720001.220703","5492302707.3","3.15389653239669","41.228","52.0263555949345","71795950714.9485","-17147722730.2744","1.75","8","NA"
American Samoa,"ASM","NA","NA","NA","NA","160.971786833856","NA","NA","NA","NA","NA"
Andorra,"AND","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Angola,"AGO","49540000.9155273","51997502840.3","17.2835614724323","5.4295","64.2885787245042","16334853784.0603","5137394880.2235","6.41540182938613","19.295367205655","NA"
Antigua and Barbuda,"ATG","27440000.5340576","NA","NA","NA","141.555080148007","279133212.713698","NA","1.57648958333333","8.61132908333333","NA"
Argentina,"ARG","18250000","279305800305.8","149.867971985723","24.0817","32.6276437330845","44880566052.3703","-3997018054.51692","47.2867933045233","67.2541666666667","NA"
Armenia,"ARM","419730010.986328","11887400146.3","55.9582999948501","13.4143","95.7371808943261","2849645182.4783","-987522525.741376","8.48695110316131","12.1419889531682","NA"
Aruba,"ABW","NA","NA","NA","NA","NA","982300000","84796821.7557428","2.2","5.7","NA"
Australia,"AUS","NA","NA","NA","NA","45.7104594710859","58754685703.4779","8033400362.83176","1.55833333333333","5.101","NA"
Austria,"AUT","NA","NA","NA","NA","107.779781982421","23616397437.8114","12666127203.9232","NA","NA","110.451630234753"
Azerbaijan,"AZE","120980003.356934","15840362634.9","8.75841669966488","3.8941","85.8181454084561","7042996709.93734","4364886019.2297","9.69416666666667","17.2812151745262","NA"
"Bahamas, The","BHS","NA","NA","NA","NA","75.9198161840516","1757782753.50028","526320690.740738","0.588333333333333","4.25","NA"
Bahrain,"BHR","NA","NA","NA","NA","142.359339767544","3902650742.43906","NA","NA","NA","NA"
Bangladesh,"BGD","4482600097.65625","57088329151.8","29.7805609621039","17.0566","36.7592997489934","32696936140.2925","-2948537074.51494","6.775","9.55583333333333","NA"
Barbados,"BRB","NA","NA","NA","NA","83.6916711460933","772118649.502051","NA","NA","NA","NA"
Belarus,"BLR","214229995.727539","40729518642.4","108.517204451347","25.0283","130.850406102184","9393817368.90426","-1245800000","6.5075","9.02333333333333","NA"
