Country Name,"Population, total [SP.POP.TOTL]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]",Population growth (annual %) [SP.POP.GROW],Population density (people per sq. km of land area) [EN.POP.DNST],Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS],Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS],Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS],Land area (sq. km) [AG.LND.TOTL.K2],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Services, value added (% of GDP) [NV.SRV.TOTL.ZS]",Gross value added at basic prices (GVA) (current US$) [NY.GDP.FCST.CD],"Employers, total (% of total employment) (modeled ILO estimate) [SL.EMP.MPYR.ZS]",Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS],"Employment to population ratio, 15+, total (%) (modeled ILO estimate) [SL.EMP.TOTL.SP.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Labor force, total [SL.TLF.TOTL.IN]","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]",Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Inflation, GDP deflator: linked series (annual %) [NY.GDP.DEFL.KD.ZG.AD]",GNI (current US$) [NY.GNP.MKTP.CD],"Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Consumer price index (2010 = 100) [FP.CPI.TOTL],Export value index (2000 = 100) [TX.VAL.MRCH.XD.WD],Import value index (2000 = 100) [TM.VAL.MRCH.XD.WD],Region,Trade (% of GDP) [NE.TRD.GNFS.ZS]
Afghanistan,38041757,51.3376051479431,48.6623948520569,2.31307334941778,58.2693946634807,42.4722713889586,54.9119343971364,2.61579421390507,652860,507.103391875763,25.7739707394105,14.0581123697768,55.4728067408306,18385365425.3085,2.82999992370605,42.5,18.5499992370605,38.9599990844727,43.53,10.98,10701549,50.49,0.77395727295575,2.30237251516844,6.52147984507825,6.52147984507825,19598008726.2285,23404553.647249,149.895975208032,710.0617572,623.3544463,SouthernAsia,
Albania,2854191,50.9138943105883,49.0861056894117,-0.426007367032238,104.167554744526,17.399564097126,68.3978052821376,14.2026306207364,27400,5355.84779459031,18.4633799189155,20.2359624888842,48.5759175924794,13341430868.0501,3.0699999332428,36.4199981689453,20.1499996185303,43.4300003051758,53.41,11.47,1422089,69.61,1.59173188825137,1.41109078954248,0.477277009414109,0.477277009414109,15084875233.4985,1201022154.46645,119.049258384382,1038.611726,540.5527953,SouthernEurope,76.8541258217678
Algeria,43053054,50.5182884354731,49.4817115645269,1.93398334424168,18.0762954494212,30.5503786096104,62.8968435084768,6.55277788191286,2381741,3975.5089933335,12.3803742846933,37.4392387031716,46.2339010098736,157633284626.522,4.65000009536743,9.60000038146973,30.4200000762939,59.9900016784668,37.51,11.81,12716548,46.37,16.4240640597652,1.95176821052894,-0.910065689411226,-0.910065689411226,166956170572.149,1381269144.40103,151.361667767746,162.6030243,457.2469742,NorthernAfrica,52.0263555949345
Andorra,77146,,,0.179041785311253,164.140425531915,,,,470,40897.3308728669,,,,2832553453.48707,,,,,,,,,0,,1.37475350829189,1.37475350829189,,,,313.3716695,173.1415092,SouthernEurope,
Angola,31825299,49.472524987118,50.5274750128821,3.24291402840967,25.527632148873,46.6220250275763,51.17863322241,2.19934175001363,1246700,2809.62608839129,6.66070380425936,49.986772065329,38.8503462339698,85179841995.8238,4.80999994277954,50.7299995422363,6.80000019073486,42.4700012207031,72.07,6.93,13155275,77.93,26.1942673738873,17.0812152138993,28.0906771592866,28.0906771592866,81900890781.2989,-4098478747.63755,378.883721459389,438.3987046,464.7058683,MiddleAfrica,64.2885787245042
Antigua and Barbuda,97115,48.2428049219997,51.7571950780003,0.861445783881833,220.715909090909,21.9547354764307,68.9903004592352,9.05496406433411,440,17113.3497705088,1.76007844360751,21.5708778107102,66.2552091458115,1463544444.44444,,,,,,,,,0,1.43135598182989,0.169555987636485,0.169555987636485,1555907463.40076,139466666.6667,115.436612610656,71.92307692,168.8041769,Caribbean,141.555080148007
Argentina,44938712,48.7741977984923,51.2258022015077,0.993397493293046,16.4208266190179,24.5955258782711,64.1613658498285,11.2431082719004,2736690,9912.28180859863,6.088397130802,23.4098534223297,54.3334016942752,373424052120.653,3.78999996185303,0.0599999986588955,21.8400001525879,78.0999984741211,55.55,9.84,20877041,69.37,2.07118408606953,,50.6225683967961,50.6225683967961,427609245335.726,6663062111.95629,,247.2039786,195.2929951,SouthAmerica,32.6276437330845
Armenia,2957728,47.0384362591827,52.9615637408173,0.202624027586126,103.889286968739,20.7659520084822,67.7503802746092,11.4836677169087,28470,4622.73818208855,11.9883560296292,24.2874002052175,54.2338376614097,12121772498.044,0.899999976158142,24.0499992370605,24.75,51.2000007629395,42.97,18.81,1240429,61.55,2.11066889665212,1.44344660770702,1.46271392892625,1.46271392892625,13900535495.7309,254077251.672277,129.176007326748,897.4507138,625.2182787,WesternAsia,95.7371808943261
Aruba,106310,47.4489699934155,52.5510300065845,0.437414675818993,590.611111111111,17.6204450966006,68.3211994657336,14.0583554376658,180,,,,,,,,,,,,,,,4.25746204335428,,,,-75226540.6843182,109.534355432857,5.179590413,46.51691765,Caribbean,
Australia,25365745,49.8004658138649,50.1995341861351,1.52165367749095,3.29767018286484,19.2754467111674,64.8033515429272,15.9212017459054,7692020,55057.2046960666,2.12159698465698,25.3824487371203,66.0302251264928,1306268774138.18,5.96999979019165,2.55999994277954,19.0599994659424,78.379997253418,62.53,5.16,13500080,78.51,5.35585560534643,1.61076787290379,3.39810447050677,3.39810447050677,1352020454870.55,39897440702.6864,119.797086368366,424.3045207,309.7546926,Oceania,45.7104594710859
Austria,8879920,49.2387138156234,50.7612861843766,0.444673639004876,107.609306834707,14.361857631549,66.5625360827828,19.0756062856682,82520,50121.5542131186,1.08562333151095,25.5242529163282,62.7716919422153,397815364718.901,4.78999996185303,3.66000008583069,25.3600006103516,70.9899978637695,58.05,4.49,4622075,76.86,0.132720136514683,1.53089564152645,1.72610686092094,1.72610686092094,447294996188.235,-8100275768.26291,118.057980056249,264.5264523,255.8428154,WesternEurope,107.779781982421
Azerbaijan,10024283,49.9201261500247,50.0798738499753,0.846646726414021,121.280071139933,23.4419198468747,70.11169103273,6.4463891203953,82654,4805.75371765917,5.69538024963307,48.8232665251868,36.972533524144,43843352941.1765,13.6899995803833,36,14.789999961853,49.2200012207031,63.28,4.84,5103475,72.04,25.4608376363194,2.61057182799216,-0.221986546951399,-0.221986546951399,46113221294.1176,1503918000,156.891564325,1117.47851,1023.890785,WesternAsia,85.8181454084561
Bahamas,389486,48.58454475899,51.4154552410099,0.993659489537656,38.9096903096903,22.0757313560062,70.4409959895451,7.48327265444873,10010,34863.3840497476,0.597990985948685,12.8884732082364,71.1682917489027,11495100000,5.88000011444092,2.20000004768372,14.4799995422363,83.3099975585938,67.97,10.11,229479,81.46,0.0112698591771594,2.49123527368055,3.02038182602324,3.02038182602324,13114074100,264596251.69575,116.218911182281,113.5092898,143.0603781,Caribbean,75.9198161840516
Bahrain,1641164,64.2712733157686,35.7287266842314,4.4686878342058,2104.05641025641,18.718696151287,78.7624941200557,2.51880972865733,780,23443.4348283266,0.282447212233573,42.2739005227278,55.0606853665247,37662127659.5745,1.63999998569489,0.939999997615814,35.25,63.810001373291,72.44,1.56,981661,75.09,3.7988196713609,1.00582004702132,0.18969062791156,0.18969062791156,36313430851.0638,941755319.1489,118.772111860491,292.5166537,251.4171706,WesternAsia,142.359339767544
Bangladesh,163046173,50.5830891228585,49.4169108771415,1.02919664944804,1252.56336329415,27.2143653845367,67.6052832669884,5.18035134847486,130170,1855.6915096678,12.6802716368639,29.6486788149504,52.849325301184,287974626151.653,5.40999984741211,38.2999992370605,21.3199996948242,40.3800010681152,56.62,4.22,70160182,61.54,0.453838329428306,5.59199639930633,4.4589512526022,4.4589512526022,316899147223.538,1908045387.02685,179.679821747048,615.7044921,665.2471012,SouthernAsia,36.7592997489934
Barbados,287021,48.3633601722522,51.6366398277478,0.132831081778268,667.490697674419,17.0504311471126,66.7185785210348,16.2309903318526,430,18148.4978451054,,,,4372104250,0.800000011920929,2.65000009536743,18.9300003051758,78.4199981689453,58.7,10.1,155468,77.73,0.270213690853897,4.10028964518463,2.50688134797679,2.50688134797679,5030074650,215370000,134.091174070188,163.0688452,136.7497946,Caribbean,83.6916711460933
Belarus,9417849,46.5480598649508,53.4519401350492,-0.694662243115478,46.3979160508424,17.0363201515465,67.7628384969718,15.2008413514816,202980,6839.10383292452,6.79466882799274,31.737128716913,48.426692673832,56009656754.9479,0.879999995231628,11.0600004196167,30.3799991607666,58.560001373291,61.04,4.71,5005260,78.06,1.77303183160313,5.59815595039853,8.62673264496581,8.62673264496581,62539904818.8163,1273300000,508.339294380209,449.8798864,456.6167796,EasternEurope,130.850406102184
Belgium,11488980,49.4957764430955,50.5042235569044,0.540461327098122,379.424702774108,17.0582030426729,63.935230890395,19.0065660669321,30280,46414.4352334354,0.626060683926477,19.1114145335426,69.5030855877984,475779129510.587,3.64000010490417,0.920000016689301,20.8400001525879,78.2399978637695,51.02,5.36,5137174,69.06,0.0163513103797592,1.43681956996435,1.65546895342858,1.65546895342858,539738514469.019,-28965673807.8192,117.110457187971,236.6497299,240.6886211,WesternEurope,163.009222754331
Belize,390351,49.7708472631042,50.2291527368958,1.88259837762914,17.1131521262604,29.704395764859,65.4282149746512,4.86738926048986,22810,5078.80994441772,8.9679707256406,12.8509461508856,64.3999929100507,1648605286.91897,3.15000009536743,16.7999992370605,15.5900001525879,67.6100006103516,61.02,6.46,178991,67.71,1.52239627870933,,1.6866287668005,1.6866287668005,1824218540.6134,93910241.7033733,,236.0454872,188.046219,CentralAmerica,110.022795949125
